Date,Views,Watch time (hours),Average view duration,Estimated revenue (USD),Video title,Video publish time,Duration,Video views,Watch time (hours)
7/4/24,216337,95753.4922,0:26:33,2039.665,Man w/ Too Many Cigarettes Loses it on Customs | Border Security: Australia's Front Line,19-Mar-23,1510,139788,38757.1653
7/3/24,197653,84985.4477,0:25:47,1811.564,Customs Discovers Credit Card Scam | Border Security: Australia's Front Line,21-Sep-22,1330,138952,32377.3005
7/2/24,190558,77586.2873,0:24:25,1736.935,Shot in the Back! | Coast Guard Alaska | Full Episode,6-Jun-20,2553,137984,35779.1497
7/1/24,193643,79409.9442,0:24:36,1621.405,Entry Denied - Border Security Australia,25-Jul-24,1321,136991,29010.6457
6/30/24,223817,95218.7987,0:25:31,2445.721,"Woman Conceals 2.5 Kilos Everywhere Imaginable | ""Customs: Remastered"" 4k",18-May-23,1389,136990,21049.3297
6/29/24,225284,101880.3272,0:27:08,2665.492,Double Whammy | Border Security: Australia's Front Line,4-Sep-22,1320,134719,34304.9141
6/28/24,228848,102110.2041,0:26:46,2751.621,Heart-Shaped Boxes...of Meth | Border Security: Australia's Front Line,25-Apr-24,1341,132508,28712.745
6/27/24,209781,85887.6354,0:24:33,2497.583,Sailors Rescued from Sinking Ship! | Coast Guard Florida | Full Episode,19-Aug-20,2553,132403,34515.268
6/26/24,227557,88681.7374,0:23:22,2552.888,Can You Fly With Fireworks? | Border Security: Australia's Front Line,30-Apr-23,1486,131539,37976.7135
6/25/24,229217,83915.9381,0:21:57,2527.13,Panic at the Customs Office | Border Security: Canada's Front Line,11-Dec-22,1306,130593,25701.066
6/24/24,235511,81035.8586,0:20:38,2284.515,UK Border Force Customs Agents on the Front Lines | Border Patrol,4-Dec-19,2651,130546,43463.9804
6/23/24,246023,78494.1334,0:19:08,2329.82,Broke American Traveler | Border Security: Australia's Front Line,18-Jun-23,1426,130381,35524.5793
6/22/24,226947,70775.1074,0:18:42,2090.299,Beans Gone Bad: Cocaine Plot Exposed by Customs | Border Security: Australia's Front Line,20-Aug-23,1376,126048,34194.5465
6/21/24,213316,64703.5778,0:18:11,1985.538,Hong Kong Traveler with a Checkered Past | Border Security: Australia's Front Line,10-Sep-23,1330,125478,33771.7916
6/20/24,218233,65932.0868,0:18:07,2042.569,Customs Stops Tricked Out Truck | Border Security: Canada's Front Line,22-Apr-22,1301,125419,21936.6567
6/19/24,237550,77293.0482,0:19:31,2235.598,Puppy Contraband | Border Security: Canada's Front Line,13-Nov-22,1306,124229,28506.5471
6/18/24,248853,77411.1837,0:18:39,2219.159,Insane concealment #borderpatrol,29-Aug-23,58,123523,1661.3048
6/17/24,262628,77234.2851,0:17:38,2110.59,Bug Collector Conceals Live Cockroach | Border Security: Australia's Front Line,9-May-24,1261,122056,26985.8529
6/16/24,238156,89511.4515,0:22:33,2388.298,Jamaican Frequent Flier Raises Suspicion | Border Security: Canada's Front Line,28-Oct-22,1306,121744,22791.1834
6/15/24,205542,78128.2175,0:22:48,2088.228,Roughneck Pushes His Luck w/ Border Patrol | Border Security: Canada's Front Line,1-Apr-22,1311,121435,25323.3624
6/14/24,187768,52745.7664,0:16:51,1637.724,Gluteal Implants Set off Sensors - Border Security Australia,22-Oct-24,1450,121270,22191.3629
6/13/24,220918,59120.4592,0:16:03,1745.38,People Clinging for Life in the Ocean! | Coast Guard Florida | Full Episode,22-Aug-20,2495,120292,26933.135
6/12/24,218053,57730.2278,0:15:53,1752.91,Chilean Coke Smuggler | Border Security: Australia's Front Line,2-Jul-22,1376,119856,24555.2858
6/11/24,233571,65475.0513,0:16:49,1873.754,Lost in the Wilderness! | Coast Guard Alaska | Full Episode,6-Jun-20,2553,117818,39386.0471
6/10/24,242990,66758.6873,0:16:29,1899.02,Rare Orchid Smuggler | Border Security: Australia's Front Line,2-Apr-23,1295,116678,27925.6003
6/9/24,216341,58982.1936,0:16:21,1630.926,"So-Called ""Tourist"" Uncovered | Border Security: Australia's Front Line",12-Sep-22,1366,116336,30964.4425
6/8/24,212537,54684.8328,0:15:26,1578.206,Police Patrol the Border | Police Patrol Series! | Full Episode,19-Jun-20,3154,116313,39265.5753
